"tripmode","tourmode","purpose","value","grp_var"
"3","School Bus","univ",0,"univtourmode9"
"4","School Bus","univ",0,"univtourmode9"
"5","School Bus","univ",0,"univtourmode9"
"6","School Bus","univ",0,"univtourmode9"
"7","School Bus","univ",0,"univtourmode9"
"8","School Bus","univ",0,"univtourmode9"
"9","School Bus","univ",0,"univtourmode9"
"1","Total","univ",10701,"univTotal"
"2","Total","univ",2343,"univTotal"
"3","Total","univ",2066,"univTotal"
"4","Total","univ",1425,"univTotal"
"5","Total","univ",275,"univTotal"
"6","Total","univ",156,"univTotal"
"7","Total","univ",0,"univTotal"
"8","Total","univ",0,"univTotal"
"9","Total","univ",0,"univTotal"
"1","Auto SOV","schl",3678,"schltourmode1"
"2","Auto SOV","schl",0,"schltourmode1"
"3","Auto SOV","schl",0,"schltourmode1"
"4","Auto SOV","schl",0,"schltourmode1"
"5","Auto SOV","schl",0,"schltourmode1"
"6","Auto SOV","schl",0,"schltourmode1"
"7","Auto SOV","schl",0,"schltourmode1"
"8","Auto SOV","schl",0,"schltourmode1"
"9","Auto SOV","schl",0,"schltourmode1"
"1","Auto 2 Person","schl",0,"schltourmode2"
"2","Auto 2 Person","schl",20417,"schltourmode2"
"3","Auto 2 Person","schl",0,"schltourmode2"
"4","Auto 2 Person","schl",656,"schltourmode2"
"5","Auto 2 Person","schl",0,"schltourmode2"
"6","Auto 2 Person","schl",0,"schltourmode2"
"7","Auto 2 Person","schl",0,"schltourmode2"
"8","Auto 2 Person","schl",0,"schltourmode2"
"9","Auto 2 Person","schl",0,"schltourmode2"
"1","Auto 3+ Person","schl",0,"schltourmode3"
"2","Auto 3+ Person","schl",10520,"schltourmode3"
"3","Auto 3+ Person","schl",22119,"schltourmode3"
"4","Auto 3+ Person","schl",899,"schltourmode3"
"5","Auto 3+ Person","schl",0,"schltourmode3"
"6","Auto 3+ Person","schl",0,"schltourmode3"
"7","Auto 3+ Person","schl",0,"schltourmode3"
"8","Auto 3+ Person","schl",0,"schltourmode3"
"9","Auto 3+ Person","schl",0,"schltourmode3"
"1","Walk","schl",0,"schltourmode4"
"2","Walk","schl",1568,"schltourmode4"
"3","Walk","schl",485,"schltourmode4"
"4","Walk","schl",5321,"schltourmode4"
"5","Walk","schl",0,"schltourmode4"
"6","Walk","schl",0,"schltourmode4"
"7","Walk","schl",0,"schltourmode4"
"8","Walk","schl",0,"schltourmode4"
"9","Walk","schl",0,"schltourmode4"
"1","Bike/Moped","schl",0,"schltourmode5"
"2","Bike/Moped","schl",589,"schltourmode5"
"3","Bike/Moped","schl",164,"schltourmode5"
"4","Bike/Moped","schl",0,"schltourmode5"
"5","Bike/Moped","schl",2177,"schltourmode5"
"6","Bike/Moped","schl",0,"schltourmode5"
"7","Bike/Moped","schl",0,"schltourmode5"
"8","Bike/Moped","schl",0,"schltourmode5"
"9","Bike/Moped","schl",0,"schltourmode5"
"1","Walk-Transit","schl",0,"schltourmode6"
"2","Walk-Transit","schl",15,"schltourmode6"
"3","Walk-Transit","schl",3,"schltourmode6"
"4","Walk-Transit","schl",2,"schltourmode6"
"5","Walk-Transit","schl",0,"schltourmode6"
"6","Walk-Transit","schl",23,"schltourmode6"
"7","Walk-Transit","schl",0,"schltourmode6"
"8","Walk-Transit","schl",0,"schltourmode6"
"9","Walk-Transit","schl",0,"schltourmode6"
"1","PNR-Transit","schl",0,"schltourmode7"
"2","PNR-Transit","schl",0,"schltourmode7"
"3","PNR-Transit","schl",0,"schltourmode7"
"4","PNR-Transit","schl",0,"schltourmode7"
"5","PNR-Transit","schl",0,"schltourmode7"
"6","PNR-Transit","schl",0,"schltourmode7"
"7","PNR-Transit","schl",0,"schltourmode7"
"8","PNR-Transit","schl",0,"schltourmode7"
"9","PNR-Transit","schl",0,"schltourmode7"
"1","KNR-Transit","schl",0,"schltourmode8"
"2","KNR-Transit","schl",0,"schltourmode8"
"3","KNR-Transit","schl",0,"schltourmode8"
"4","KNR-Transit","schl",0,"schltourmode8"
"5","KNR-Transit","schl",0,"schltourmode8"
"6","KNR-Transit","schl",0,"schltourmode8"
"7","KNR-Transit","schl",0,"schltourmode8"
"8","KNR-Transit","schl",0,"schltourmode8"
"9","KNR-Transit","schl",0,"schltourmode8"
"1","School Bus","schl",0,"schltourmode9"
"2","School Bus","schl",8017,"schltourmode9"
"3","School Bus","schl",3053,"schltourmode9"
"4","School Bus","schl",0,"schltourmode9"
"5","School Bus","schl",0,"schltourmode9"
"6","School Bus","schl",0,"schltourmode9"
"7","School Bus","schl",0,"schltourmode9"
"8","School Bus","schl",0,"schltourmode9"
"9","School Bus","schl",29551,"schltourmode9"
"1","Total","schl",3678,"schlTotal"
"2","Total","schl",41126,"schlTotal"
"3","Total","schl",25824,"schlTotal"
"4","Total","schl",6878,"schlTotal"
"5","Total","schl",2177,"schlTotal"
"6","Total","schl",23,"schlTotal"
"7","Total","schl",0,"schlTotal"
"8","Total","schl",0,"schlTotal"
"9","Total","schl",29551,"schlTotal"
"1","Auto SOV","imain",134155,"imaintourmode1"
"2","Auto SOV","imain",0,"imaintourmode1"
"3","Auto SOV","imain",0,"imaintourmode1"
"4","Auto SOV","imain",0,"imaintourmode1"
"5","Auto SOV","imain",0,"imaintourmode1"
"6","Auto SOV","imain",0,"imaintourmode1"
"7","Auto SOV","imain",0,"imaintourmode1"
"8","Auto SOV","imain",0,"imaintourmode1"
"9","Auto SOV","imain",0,"imaintourmode1"
"1","Auto 2 Person","imain",6504,"imaintourmode2"
"2","Auto 2 Person","imain",21307,"imaintourmode2"
"3","Auto 2 Person","imain",0,"imaintourmode2"
"4","Auto 2 Person","imain",404,"imaintourmode2"
"5","Auto 2 Person","imain",0,"imaintourmode2"
"6","Auto 2 Person","imain",0,"imaintourmode2"
"7","Auto 2 Person","imain",0,"imaintourmode2"
"8","Auto 2 Person","imain",0,"imaintourmode2"
"9","Auto 2 Person","imain",0,"imaintourmode2"
"1","Auto 3+ Person","imain",1426,"imaintourmode3"
"2","Auto 3+ Person","imain",2378,"imaintourmode3"
"3","Auto 3+ Person","imain",9760,"imaintourmode3"
"4","Auto 3+ Person","imain",160,"imaintourmode3"
"5","Auto 3+ Person","imain",0,"imaintourmode3"
"6","Auto 3+ Person","imain",0,"imaintourmode3"
"7","Auto 3+ Person","imain",0,"imaintourmode3"
"8","Auto 3+ Person","imain",0,"imaintourmode3"
"9","Auto 3+ Person","imain",0,"imaintourmode3"
"1","Walk","imain",0,"imaintourmode4"
"2","Walk","imain",0,"imaintourmode4"
"3","Walk","imain",0,"imaintourmode4"
"4","Walk","imain",12530,"imaintourmode4"
"5","Walk","imain",0,"imaintourmode4"
"6","Walk","imain",0,"imaintourmode4"
"7","Walk","imain",0,"imaintourmode4"
"8","Walk","imain",0,"imaintourmode4"
"9","Walk","imain",0,"imaintourmode4"
"1","Bike/Moped","imain",0,"imaintourmode5"
"2","Bike/Moped","imain",0,"imaintourmode5"
"3","Bike/Moped","imain",0,"imaintourmode5"
"4","Bike/Moped","imain",0,"imaintourmode5"
"5","Bike/Moped","imain",1562,"imaintourmode5"
"6","Bike/Moped","imain",0,"imaintourmode5"
"7","Bike/Moped","imain",0,"imaintourmode5"
"8","Bike/Moped","imain",0,"imaintourmode5"
"9","Bike/Moped","imain",0,"imaintourmode5"
"1","Walk-Transit","imain",0,"imaintourmode6"
"2","Walk-Transit","imain",1,"imaintourmode6"
"3","Walk-Transit","imain",3,"imaintourmode6"
"4","Walk-Transit","imain",129,"imaintourmode6"
"5","Walk-Transit","imain",0,"imaintourmode6"
"6","Walk-Transit","imain",100,"imaintourmode6"
"7","Walk-Transit","imain",0,"imaintourmode6"
"8","Walk-Transit","imain",0,"imaintourmode6"
"9","Walk-Transit","imain",0,"imaintourmode6"
"1","PNR-Transit","imain",0,"imaintourmode7"
"2","PNR-Transit","imain",0,"imaintourmode7"
"3","PNR-Transit","imain",0,"imaintourmode7"
"4","PNR-Transit","imain",0,"imaintourmode7"
"5","PNR-Transit","imain",0,"imaintourmode7"
"6","PNR-Transit","imain",0,"imaintourmode7"
"7","PNR-Transit","imain",2,"imaintourmode7"
"8","PNR-Transit","imain",0,"imaintourmode7"
"9","PNR-Transit","imain",0,"imaintourmode7"
"1","KNR-Transit","imain",0,"imaintourmode8"
"2","KNR-Transit","imain",1,"imaintourmode8"
"3","KNR-Transit","imain",2,"imaintourmode8"
"4","KNR-Transit","imain",0,"imaintourmode8"
"5","KNR-Transit","imain",0,"imaintourmode8"
"6","KNR-Transit","imain",0,"imaintourmode8"
"7","KNR-Transit","imain",0,"imaintourmode8"
"8","KNR-Transit","imain",0,"imaintourmode8"
"9","KNR-Transit","imain",0,"imaintourmode8"
"1","School Bus","imain",0,"imaintourmode9"
"2","School Bus","imain",0,"imaintourmode9"
"3","School Bus","imain",0,"imaintourmode9"
"4","School Bus","imain",0,"imaintourmode9"
"5","School Bus","imain",0,"imaintourmode9"
"6","School Bus","imain",0,"imaintourmode9"
"7","School Bus","imain",0,"imaintourmode9"
"8","School Bus","imain",0,"imaintourmode9"
"9","School Bus","imain",0,"imaintourmode9"
"1","Total","imain",142085,"imainTotal"
"2","Total","imain",23687,"imainTotal"
"3","Total","imain",9765,"imainTotal"
"4","Total","imain",13223,"imainTotal"
"5","Total","imain",1562,"imainTotal"
"6","Total","imain",100,"imainTotal"
"7","Total","imain",2,"imainTotal"
"8","Total","imain",0,"imainTotal"
"9","Total","imain",0,"imainTotal"
"1","Auto SOV","idisc",41888,"idisctourmode1"
"2","Auto SOV","idisc",0,"idisctourmode1"
"3","Auto SOV","idisc",0,"idisctourmode1"
"4","Auto SOV","idisc",0,"idisctourmode1"
"5","Auto SOV","idisc",0,"idisctourmode1"
"6","Auto SOV","idisc",0,"idisctourmode1"
"7","Auto SOV","idisc",0,"idisctourmode1"
"8","Auto SOV","idisc",0,"idisctourmode1"
"9","Auto SOV","idisc",0,"idisctourmode1"
"1","Auto 2 Person","idisc",805,"idisctourmode2"
"2","Auto 2 Person","idisc",12697,"idisctourmode2"
"3","Auto 2 Person","idisc",0,"idisctourmode2"
"4","Auto 2 Person","idisc",545,"idisctourmode2"
"5","Auto 2 Person","idisc",0,"idisctourmode2"
"6","Auto 2 Person","idisc",0,"idisctourmode2"
"7","Auto 2 Person","idisc",0,"idisctourmode2"
"8","Auto 2 Person","idisc",0,"idisctourmode2"
"9","Auto 2 Person","idisc",0,"idisctourmode2"
"1","Auto 3+ Person","idisc",160,"idisctourmode3"
"2","Auto 3+ Person","idisc",1267,"idisctourmode3"
"3","Auto 3+ Person","idisc",15070,"idisctourmode3"
"4","Auto 3+ Person","idisc",454,"idisctourmode3"
"5","Auto 3+ Person","idisc",0,"idisctourmode3"
"6","Auto 3+ Person","idisc",0,"idisctourmode3"
"7","Auto 3+ Person","idisc",0,"idisctourmode3"
"8","Auto 3+ Person","idisc",0,"idisctourmode3"
"9","Auto 3+ Person","idisc",0,"idisctourmode3"
"1","Walk","idisc",0,"idisctourmode4"
"2","Walk","idisc",0,"idisctourmode4"
"3","Walk","idisc",0,"idisctourmode4"
"4","Walk","idisc",6423,"idisctourmode4"
"5","Walk","idisc",0,"idisctourmode4"
"6","Walk","idisc",0,"idisctourmode4"
"7","Walk","idisc",0,"idisctourmode4"
"8","Walk","idisc",0,"idisctourmode4"
"9","Walk","idisc",0,"idisctourmode4"
"1","Bike/Moped","idisc",0,"idisctourmode5"
"2","Bike/Moped","idisc",0,"idisctourmode5"
"3","Bike/Moped","idisc",0,"idisctourmode5"
"4","Bike/Moped","idisc",0,"idisctourmode5"
"5","Bike/Moped","idisc",1350,"idisctourmode5"
"6","Bike/Moped","idisc",0,"idisctourmode5"
"7","Bike/Moped","idisc",0,"idisctourmode5"
"8","Bike/Moped","idisc",0,"idisctourmode5"
"9","Bike/Moped","idisc",0,"idisctourmode5"
"1","Walk-Transit","idisc",0,"idisctourmode6"
"2","Walk-Transit","idisc",0,"idisctourmode6"
"3","Walk-Transit","idisc",0,"idisctourmode6"
"4","Walk-Transit","idisc",40,"idisctourmode6"
"5","Walk-Transit","idisc",0,"idisctourmode6"
"6","Walk-Transit","idisc",117,"idisctourmode6"
"7","Walk-Transit","idisc",0,"idisctourmode6"
"8","Walk-Transit","idisc",0,"idisctourmode6"
"9","Walk-Transit","idisc",0,"idisctourmode6"
"1","PNR-Transit","idisc",0,"idisctourmode7"
"2","PNR-Transit","idisc",0,"idisctourmode7"
"3","PNR-Transit","idisc",0,"idisctourmode7"
"4","PNR-Transit","idisc",0,"idisctourmode7"
"5","PNR-Transit","idisc",0,"idisctourmode7"
"6","PNR-Transit","idisc",0,"idisctourmode7"
"7","PNR-Transit","idisc",0,"idisctourmode7"
"8","PNR-Transit","idisc",0,"idisctourmode7"
"9","PNR-Transit","idisc",0,"idisctourmode7"
"1","KNR-Transit","idisc",0,"idisctourmode8"
"2","KNR-Transit","idisc",0,"idisctourmode8"
"3","KNR-Transit","idisc",0,"idisctourmode8"
"4","KNR-Transit","idisc",0,"idisctourmode8"
"5","KNR-Transit","idisc",0,"idisctourmode8"
"6","KNR-Transit","idisc",0,"idisctourmode8"
"7","KNR-Transit","idisc",0,"idisctourmode8"
"8","KNR-Transit","idisc",0,"idisctourmode8"
"9","KNR-Transit","idisc",0,"idisctourmode8"
"1","School Bus","idisc",0,"idisctourmode9"
"2","School Bus","idisc",0,"idisctourmode9"
"3","School Bus","idisc",0,"idisctourmode9"
"4","School Bus","idisc",0,"idisctourmode9"
"5","School Bus","idisc",0,"idisctourmode9"
"6","School Bus","idisc",0,"idisctourmode9"
"7","School Bus","idisc",0,"idisctourmode9"
"8","School Bus","idisc",0,"idisctourmode9"
"9","School Bus","idisc",0,"idisctourmode9"
"1","Total","idisc",42853,"idiscTotal"
"2","Total","idisc",13964,"idiscTotal"
"3","Total","idisc",15070,"idiscTotal"
"4","Total","idisc",7462,"idiscTotal"
"5","Total","idisc",1350,"idiscTotal"
"6","Total","idisc",117,"idiscTotal"
"7","Total","idisc",0,"idiscTotal"
"8","Total","idisc",0,"idiscTotal"
"9","Total","idisc",0,"idiscTotal"
"1","Auto SOV","jmain",0,"jmaintourmode1"
"2","Auto SOV","jmain",0,"jmaintourmode1"
"3","Auto SOV","jmain",0,"jmaintourmode1"
"4","Auto SOV","jmain",0,"jmaintourmode1"
"5","Auto SOV","jmain",0,"jmaintourmode1"
"6","Auto SOV","jmain",0,"jmaintourmode1"
"7","Auto SOV","jmain",0,"jmaintourmode1"
"8","Auto SOV","jmain",0,"jmaintourmode1"
"9","Auto SOV","jmain",0,"jmaintourmode1"
"1","Auto 2 Person","jmain",0,"jmaintourmode2"
"2","Auto 2 Person","jmain",27065,"jmaintourmode2"
"3","Auto 2 Person","jmain",0,"jmaintourmode2"
"4","Auto 2 Person","jmain",75,"jmaintourmode2"
"5","Auto 2 Person","jmain",0,"jmaintourmode2"
"6","Auto 2 Person","jmain",0,"jmaintourmode2"
"7","Auto 2 Person","jmain",0,"jmaintourmode2"
"8","Auto 2 Person","jmain",0,"jmaintourmode2"
"9","Auto 2 Person","jmain",0,"jmaintourmode2"
"1","Auto 3+ Person","jmain",0,"jmaintourmode3"
"2","Auto 3+ Person","jmain",1122,"jmaintourmode3"
"3","Auto 3+ Person","jmain",5243,"jmaintourmode3"
"4","Auto 3+ Person","jmain",17,"jmaintourmode3"
"5","Auto 3+ Person","jmain",0,"jmaintourmode3"
"6","Auto 3+ Person","jmain",0,"jmaintourmode3"
"7","Auto 3+ Person","jmain",0,"jmaintourmode3"
"8","Auto 3+ Person","jmain",0,"jmaintourmode3"
"9","Auto 3+ Person","jmain",0,"jmaintourmode3"
"1","Walk","jmain",0,"jmaintourmode4"
"2","Walk","jmain",0,"jmaintourmode4"
"3","Walk","jmain",0,"jmaintourmode4"
"4","Walk","jmain",1716,"jmaintourmode4"
"5","Walk","jmain",0,"jmaintourmode4"
"6","Walk","jmain",0,"jmaintourmode4"
"7","Walk","jmain",0,"jmaintourmode4"
"8","Walk","jmain",0,"jmaintourmode4"
"9","Walk","jmain",0,"jmaintourmode4"
"1","Bike/Moped","jmain",0,"jmaintourmode5"
"2","Bike/Moped","jmain",0,"jmaintourmode5"
"3","Bike/Moped","jmain",0,"jmaintourmode5"
"4","Bike/Moped","jmain",0,"jmaintourmode5"
"5","Bike/Moped","jmain",57,"jmaintourmode5"
"6","Bike/Moped","jmain",0,"jmaintourmode5"
"7","Bike/Moped","jmain",0,"jmaintourmode5"
"8","Bike/Moped","jmain",0,"jmaintourmode5"
"9","Bike/Moped","jmain",0,"jmaintourmode5"
"1","Walk-Transit","jmain",0,"jmaintourmode6"
"2","Walk-Transit","jmain",0,"jmaintourmode6"
"3","Walk-Transit","jmain",0,"jmaintourmode6"
"4","Walk-Transit","jmain",0,"jmaintourmode6"
"5","Walk-Transit","jmain",0,"jmaintourmode6"
"6","Walk-Transit","jmain",2,"jmaintourmode6"
"7","Walk-Transit","jmain",0,"jmaintourmode6"
"8","Walk-Transit","jmain",0,"jmaintourmode6"
"9","Walk-Transit","jmain",0,"jmaintourmode6"
"1","PNR-Transit","jmain",0,"jmaintourmode7"
"2","PNR-Transit","jmain",0,"jmaintourmode7"
"3","PNR-Transit","jmain",0,"jmaintourmode7"
"4","PNR-Transit","jmain",0,"jmaintourmode7"
"5","PNR-Transit","jmain",0,"jmaintourmode7"
"6","PNR-Transit","jmain",0,"jmaintourmode7"
"7","PNR-Transit","jmain",0,"jmaintourmode7"
"8","PNR-Transit","jmain",0,"jmaintourmode7"
"9","PNR-Transit","jmain",0,"jmaintourmode7"
"1","KNR-Transit","jmain",0,"jmaintourmode8"
"2","KNR-Transit","jmain",0,"jmaintourmode8"
"3","KNR-Transit","jmain",0,"jmaintourmode8"
"4","KNR-Transit","jmain",0,"jmaintourmode8"
"5","KNR-Transit","jmain",0,"jmaintourmode8"
"6","KNR-Transit","jmain",0,"jmaintourmode8"
"7","KNR-Transit","jmain",0,"jmaintourmode8"
"8","KNR-Transit","jmain",0,"jmaintourmode8"
"9","KNR-Transit","jmain",0,"jmaintourmode8"
"1","School Bus","jmain",0,"jmaintourmode9"
"2","School Bus","jmain",0,"jmaintourmode9"
"3","School Bus","jmain",0,"jmaintourmode9"
"4","School Bus","jmain",0,"jmaintourmode9"
"5","School Bus","jmain",0,"jmaintourmode9"
"6","School Bus","jmain",0,"jmaintourmode9"
"7","School Bus","jmain",0,"jmaintourmode9"
"8","School Bus","jmain",0,"jmaintourmode9"
"9","School Bus","jmain",0,"jmaintourmode9"
"1","Total","jmain",0,"jmainTotal"
"2","Total","jmain",28187,"jmainTotal"
"3","Total","jmain",5243,"jmainTotal"
"4","Total","jmain",1808,"jmainTotal"
"5","Total","jmain",57,"jmainTotal"
"6","Total","jmain",2,"jmainTotal"
"7","Total","jmain",0,"jmainTotal"
"8","Total","jmain",0,"jmainTotal"
"9","Total","jmain",0,"jmainTotal"
"1","Auto SOV","jdisc",0,"jdisctourmode1"
"2","Auto SOV","jdisc",0,"jdisctourmode1"
"3","Auto SOV","jdisc",0,"jdisctourmode1"
"4","Auto SOV","jdisc",0,"jdisctourmode1"
"5","Auto SOV","jdisc",0,"jdisctourmode1"
"6","Auto SOV","jdisc",0,"jdisctourmode1"
"7","Auto SOV","jdisc",0,"jdisctourmode1"
"8","Auto SOV","jdisc",0,"jdisctourmode1"
"9","Auto SOV","jdisc",0,"jdisctourmode1"
"1","Auto 2 Person","jdisc",0,"jdisctourmode2"
"2","Auto 2 Person","jdisc",15501,"jdisctourmode2"
"3","Auto 2 Person","jdisc",0,"jdisctourmode2"
"4","Auto 2 Person","jdisc",579,"jdisctourmode2"
"5","Auto 2 Person","jdisc",0,"jdisctourmode2"
"6","Auto 2 Person","jdisc",0,"jdisctourmode2"
"7","Auto 2 Person","jdisc",0,"jdisctourmode2"
"8","Auto 2 Person","jdisc",0,"jdisctourmode2"
"9","Auto 2 Person","jdisc",0,"jdisctourmode2"
"1","Auto 3+ Person","jdisc",0,"jdisctourmode3"
